window_seconds,fold,epoch,train_loss,train_accuracy
4.0,1,1,0.9965295531972567,0.530632827829021
4.0,1,2,0.7522769340579895,0.6456824308217043
4.0,1,3,0.6815480339011889,0.6844479489483432
4.0,1,4,0.6190304076536287,0.7189591623420681
4.0,1,5,0.6155135322394907,0.7182256615260485
4.0,1,6,0.5696428066814189,0.740744136577852
4.0,1,7,0.5467141849064777,0.7495461463700879
4.0,1,8,0.5151744103367433,0.7660682522509307
4.0,1,9,0.48908069533337994,0.7800414427961051
4.0,1,10,0.4749627972922298,0.7841673848862157
4.0,2,1,1.0013583583451604,0.5335256610499624
4.0,2,2,0.754013022369316,0.6430789584902886
4.0,2,3,0.6768522009789353,0.6794803476599107
4.0,2,4,0.6328586548168694,0.6978188566913508
4.0,2,5,0.5922963202697339,0.7199426691902023
4.0,2,6,0.5612436059070167,0.7380422998474854
4.0,2,7,0.5347655382348874,0.7567850645890373
4.0,2,8,0.5106376656093504,0.7671670862350931
4.0,2,9,0.49537407551927,0.7749398210249719
4.0,2,10,0.4716539604421667,0.7872144944047335
4.0,3,1,1.0219511570605548,0.5225922394190567
4.0,3,2,0.8002159372163363,0.6285300374092276
4.0,3,3,0.7097493504591247,0.6760984376146116
4.0,3,4,0.6546917539484772,0.7059708061321792
4.0,3,5,0.6041416094621943,0.7303051419350106
4.0,3,6,0.5966756583256967,0.7361915939265019
4.0,3,7,0.5531080778037025,0.753759260617619
4.0,3,8,0.5422372905434879,0.7602508618792636
4.0,3,9,0.49719401757907583,0.7828981148683342
4.0,3,10,0.4905822585738344,0.7880877283063156
4.0,4,1,0.9846169804946955,0.5474598684935532
4.0,4,2,0.7498537230595859,0.6598280865444661
4.0,4,3,0.6700348473596253,0.6971494691988392
4.0,4,4,0.6237611275672457,0.719556992249201
4.0,4,5,0.5795364363461594,0.7400910994379752
4.0,4,6,0.5503734301663346,0.7527825735591228
4.0,4,7,0.5214278835883871,0.7687800756713074
4.0,4,8,0.49860923756965614,0.7763104727620027
4.0,4,9,0.4768768612876837,0.7887631781949087
4.0,4,10,0.46395865305740935,0.7960548065973625
4.0,5,1,1.0052155751422136,0.5273492028506355
4.0,5,2,0.776253425096679,0.6392623613253986
4.0,5,3,0.68404910082891,0.6878811255602086
4.0,5,4,0.634677332041064,0.7114466240540739
4.0,5,5,0.6017471056437826,0.728087576225112
4.0,5,6,0.5621133071837966,0.7514510322533245
4.0,5,7,0.5333164227621026,0.7641062376019396
4.0,5,8,0.5024123692633377,0.7777165527881861
4.0,5,9,0.48959875481885934,0.7864411138050107
4.0,5,10,0.46081476223678103,0.7993350966130336
