model,modality,window_seconds,folds,eval_windows_total,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std
cnn_replication,accel,2.0,5,136268,0.510687205664041,0.03369510197224826,0.5372042893761135,0.04869016679575623,0.5118560613002634,0.03140525021449968
cnn_replication,gyro,2.0,5,136268,0.5399590721365876,0.05363319610826591,0.5204220635743055,0.05813872011555617,0.5196011652849661,0.047199386267107284
cnn_replication,accel_gyro,2.0,5,136268,0.522801697348201,0.020500187428360423,0.5515426067394253,0.031141680798051567,0.5244751903392055,0.019866688009065426
cnn_replication,accel,4.0,5,68094,0.5274756634772542,0.03492473935390513,0.5669633395913495,0.04438982208156184,0.5251669069178051,0.0341083118641662
cnn_replication,gyro,4.0,5,68094,0.5724254149284549,0.020521509068951362,0.5103294216466685,0.023352553307566956,0.5259658030257093,0.029866595169347424
cnn_replication,accel_gyro,4.0,5,68094,0.5235214423317733,0.05728726727834911,0.546923274802144,0.056440058943937915,0.5196053567982013,0.06034366875768886
cnn_replication,accel,6.0,5,45374,0.5133199601103734,0.03136480080068498,0.5500404070414464,0.029527478221135675,0.5127762088828606,0.027373473790606114
cnn_replication,gyro,6.0,5,45374,0.5977035716777931,0.008595435687683783,0.5515213432657351,0.02252140928705769,0.5575384817108907,0.008988401354971616
cnn_replication,accel_gyro,6.0,5,45374,0.5230287635933453,0.04408902685062575,0.5626933839371974,0.044532461821843415,0.5221150246203817,0.04211882874694101
